S.No,Risk Assessment Questionnaire,"Evidence Required

(Mentioned evidence are for reference, provide suitable and available evidence)",,,,,,,,,,,,,,,,,,,,
,Vendor Information,,,,,,,,,,,,,,,,,,,,,
1,"Provide the vendor’s name, registered address, and contact details.","Official company registration documents, business license, company website details.",,,,,,,,,,,,,,,,,,,,
-2,"Contact details of Primary point of Contact and Secondary Point of Contact. (Name, email, Primary Contact number)","Contact list, organizational directory, official communication email.",,,,,,,,,,,,,,,,,,,,
-1,What is the organizational structure of your company?,"Organization chart, HR records, company profile document.",,,,,,,,,,,,,,,,,,,,
0,Have you been associated with any regulated entity in India? Provide references if applicable.,"List of clients with details, reference letters from regulated entities, engagement contracts.",,,,,,,,,,,,,,,,,,,,
1,"Have you faced any legal, regulatory, or financial challenges in the last five years?","Disclosures, court/regulatory filings, compliance reports, audit summaries.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Regulatory Compliance,,,,,,,,,,,,,,,,,,,,,
6,"Are you compliant with RBI-mandated guidelines, such as the IT Framework for NBFCs, Payment System Operators (PSOs), or other relevant circulars?","Compliance reports, self-attestation letters, audit certificates, RBI approvals.",,,,,,,,,,,,,,,,,,,,
7,Have you been subject to any regulatory inspections or audits? Share the outcomes.,"Inspection/audit reports, regulatory letters, action plans, closure confirmations.",,,,,,,,,,,,,,,,,,,,
8,Do you have an information security policy approved by your board or top management?,"Board-approved policy document, approval minutes, version control records.",,,,,,,,,,,,,,,,,,,,
9,Are you ISO/IEC 27001 certified? Provide a copy of the certificate and scope of certification.,"Certificate copy, scope of certification, surveillance audit reports.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Security Policies and Procedures,,,,,,,,,,,,,,,,,,,,,
10,"Are all security policies and procedures formally documented, approved, and version-controlled?
How frequently are security policies reviewed and updated (e.g., annually)?","Approved policy documents, version history, management approval signatures, Policy review schedule, updated policy versions, review meeting minutes.",,,,,,,,,,,,,,,,,,,,
11,"Are policies communicated to all employees, contractors, and relevant stakeholders?","Communication logs, email notifications, intranet posts, training attendance records.",,,,,,,,,,,,,,,,,,,,
12,Are staff required to formally acknowledge their understanding of policies?,"Signed acknowledgment forms, digital acceptance logs.",,,,,,,,,,,,,,,,,,,,
13,Is there a centralized repository for accessing current approved policies?,"Access screenshots, intranet links, repository audit logs.",,,,,,,,,,,,,,,,,,,,
14,Is there a defined process for exceptions and policy deviations?,"Exception request logs, approval workflow, deviation tracking reports.",,,,,,,,,,,,,,,,,,,,
15,Can you provide a list of policies applicable to the scope of this assessment?,"Policy inventory document, index with links to current policies.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Data Handling,,,,,,,,,,,,,,,,,,,,,
16,"Is data classification implemented (public, internal, confidential, sensitive)?","Data classification policy, data inventory, classification labels/screenshots.",,,,,,,,,,,,,,,,,,,,
17,"Are policies in place for handling PII, financial data, and sensitive records?","Data handling procedures, regulatory compliance mapping, training records.",,,,,,,,,,,,,,,,,,,,
18,Is sensitive data encrypted at rest and in transit using industry-standard algorithms?,"Encryption policy, system configuration screenshots, encryption certificates.",,,,,,,,,,,,,,,,,,,,
19,Are strong access controls and MFA enforced for accessing sensitive data?,"IAM configuration screenshots, MFA logs, access review records.",,,,,,,,,,,,,,,,,,,,
20,Is explicit consent collected before storing or processing personal data?,"Consent forms, system records, audit logs of consent collection.",,,,,,,,,,,,,,,,,,,,
21,Are data retention and deletion processes defined and implemented?,"Data retention policy, deletion logs, automated deletion system reports.",,,,,,,,,,,,,,,,,,,,
22,Is data shared with third parties governed by DPAs and confidentiality agreements?,"Signed DPAs, NDA copies, data-sharing logs.",,,,,,,,,,,,,,,,,,,,
23,"Are backups encrypted, tested, and stored securely?","Backup reports, encryption configurations, restore test results.",,,,,,,,,,,,,,,,,,,,
24,"Are data handling practices compliant with regulations like DPDPA, GDPR, PCI DSS?","Compliance audit reports, certification documents, regulatory assessment results.",,,,,,,,,,,,,,,,,,,,
25,"Are secure methods (e.g., encryption, VPN) used for transferring sensitive data between internal and external systems?","VPN Configuration, Encryption during transmission details",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Risk Management,,,,,,,,,,,,,,,,,,,,,
26,"
Are risks assessed using a defined methodology (impact × likelihood)?","Risk assessment methodology documents, sample risk assessments.",,,,,,,,,,,,,,,,,,,,
27,How often is the risk register reviewed and updated?,"Risk review schedule, meeting minutes, updated risk register.",,,,,,,,,,,,,,,,,,,,
28,"Do you maintain a risk register documenting risks, owners, and treatment plans?
Are mitigation controls documented and prioritized?","Risk register document, risk owners assigned, treatment plans documented.
Risk mitigation plan, control prioritization records.",,,,,,,,,,,,,,,,,,,,
29,Are risk acceptance decisions approved by leadership?,"Approval records, meeting minutes, signed risk acceptance forms.",,,,,,,,,,,,,,,,,,,,
30,Are third-party/vendor risks included in the risk program?,"Vendor risk assessment reports, due diligence records.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Contractual and Legal Obligations,,,,,,,,,,,,,,,,,,,,,
31,"Are NDAs signed with all employees, contractors, and vendors?","Signed NDA copies, HR and vendor records.",,,,,,,,,,,,,,,,,,,,
32,"Are Master Service Agreement/ Data Processing Agreements (DPAs) executed with third parties handling sensitive data?
Are liability clauses defined for breaches and non-compliance?
Are confidentiality clauses included in all contracts?
Are cross-border data transfers governed by SCCs or legal mechanisms?
Is secure data handover and deletion defined during contract termination?
Do contracts require adherence to data protection regulations?","Signed DPAs, data-sharing logs.
Contract copies, legal review documents.
Contract copies, signed agreements.
Contracts, SCC documentation, legal compliance certificates.
Contract termination procedure, deletion logs.
Contract copies, legal review documentation.",,,,,,,,,,,,,,,,,,,,
33,Are subcontractors vetted for security and compliance?,"Vendor assessment reports, compliance questionnaires.",,,,,,,,,,,,,,,,,,,,
34,Are vendors required to undergo periodic security reviews?,"Vendor audit reports, review schedules.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Network and Infrastructure Security,,,,,,,,,,,,,,,,,,,,,
35,"Are firewalls, IDS/IPS, and VPNs implemented and monitored?","Network diagrams, monitoring logs, IDS/IPS reports.",,,,,,,,,,,,,,,,,,,,
36,Is the network segmented to isolate critical systems?,"Network architecture diagrams, segmentation evidence.",,,,,,,,,,,,,,,,,,,,
37,Are secure configurations applied to all network devices?,"Configuration baselines, hardening checklists.",,,,,,,,,,,,,,,,,,,,
38,Are vulnerabilities patched regularly using a defined patch management process?,"Patch management reports, ticketing system logs.",,,,,,,,,,,,,,,,,,,,
39,Is MFA enforced for access to critical infrastructure?,"IAM configuration, MFA enforcement logs.",,,,,,,,,,,,,,,,,,,,
40,"Are unused ports, protocols, and services disabled?","Network configuration screenshots, audit reports.",,,,,,,,,,,,,,,,,,,,
41,"Are encrypted channels (TLS, IPsec, VPN) used for all sensitive data transmission?","Encryption configuration logs, SSL/TLS certificates.",,,,,,,,,,,,,,,,,,,,
42,Are wireless networks secured with strong encryption and authentication protocols?,"Wirelss device list, configuration report, Encryption standard used.",,,,,,,,,,,,,,,,,,,,
43,"Are network and cloud environments accessible only through secure channels (e.g., VPNs, bastion hosts)?","VPN configuration screen shot, Architecture diagram etc.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Cloud Security,,,,,,,,,,,,,,,,,,,,,
44,Are cloud environments configured based on CIS Benchmarks or best practices?,"Cloud configuration screenshots, CIS benchmark reports.",,,,,,,,,,,,,,,,,,,,
45,Are VPCs/security groups/ACLs used to restrict access?,"Cloud network configuration, security group documentation.",,,,,,,,,,,,,,,,,,,,
46,Are public-facing services protected by WAF or equivalent?,"WAF configuration screenshots, traffic monitoring reports.",,,,,,,,,,,,,,,,,,,,
47,Are IAM policies based on least privilege and role-based access?,"IAM policy documentation, role assignment screenshots.",,,,,,,,,,,,,,,,,,,,
48,Is MFA enabled for all cloud admin accounts?,"IAM console screenshots, MFA enforcement logs.",,,,,,,,,,,,,,,,,,,,
49,Are cloud configurations continuously assessed using automated tools?,"Automated assessment reports, configuration drift logs.",,,,,,,,,,,,,,,,,,,,
50,Are cloud APIs monitored for unauthorized access or abuse?,"API monitoring logs, alert reports.",,,,,,,,,,,,,,,,,,,,
51,Are configuration changes tracked and reviewed using automated tools?,"Change tickets, Change request and follow up emails",,,,,,,,,,,,,,,,,,,,
52,Are unused cloud resources identified and terminated to reduce the attack surface?,CR of recent change in cloud or auto scaling configuration etc.,,,,,,,,,,,,,,,,,,,,
53,"Are network and cloud environments accessible only through secure channels (e.g., VPNs, bastion hosts)?","VPN or Bastion configuration screen shot, Architecture diagram.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Endpoint Security,,,,,,,,,,,,,,,,,,,,,
54,Are antivirus/anti-malware solutions deployed and updated automatically?,"Endpoint management dashboard, update logs.",,,,,,,,,,,,,,,,,,,,
55,Are EDR solutions implemented for real-time endpoint monitoring?,"EDR configuration, monitoring reports.",,,,,,,,,,,,,,,,,,,,
56,"Is disk encryption enforced on all laptops, desktops, and mobile devices?","Encryption deployment reports, endpoint audit logs.",,,,,,,,,,,,,,,,,,,,
57,Are MDM/EMM solutions used to manage device security settings?,"MDM console screenshots, configuration policies.",,,,,,,,,,,,,,,,,,,,
58,Are personal/BYOD devices enforced with security controls?,"BYOD policy, MDM enrollment logs.",,,,,,,,,,,,,,,,,,,,
59,Are device configurations standardized and hardened?,"Device baseline configuration, hardening checklists.",,,,,,,,,,,,,,,,,,,,
60,Are DLP controls enabled on endpoints handling sensitive data?,"DLP policies, logs of data movement.",,,,,,,,,,,,,,,,,,,,
61,Are removable media restricted or monitored?,"Endpoint policy screenshots, DLP reports.",,,,,,,,,,,,,,,,,,,,
62,Is remote wipe enabled for lost or stolen devices?,"MDM logs, remote wipe test reports.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Access Control,,,,,,,,,,,,,,,,,,,,,
63,Are access control policies defined and regularly reviewed?,"Policy documents, review schedules.",,,,,,,,,,,,,,,,,,,,
64,Is least privilege enforced across all systems and data?,"Access review logs, IAM reports.",,,,,,,,,,,,,,,,,,,,
65,Is MFA implemented for critical systems and privileged accounts?,"MFA enforcement logs, MFA configuration screenshot",,,,,,,,,,,,,,,,,,,,
66,"Are access rights approved during onboarding?
Are access rights removed upon employee exit or transfer?","Approval forms, HR onboarding records.
Offboarding records, access revocation logs.",,,,,,,,,,,,,,,,,,,,
67,"Are periodic user access reviews conducted?
Is there a process for periodic review of privileged account access?","Access review logs, audit reports.
Review schedule, access review reports, approval records.",,,,,,,,,,,,,,,,,,,,
68,Are privileged accounts separately managed and monitored?,"Privileged access management reports, logs.",,,,,,,,,,,,,,,,,,,,
69,"Is RBAC implemented across applications and cloud resources?
Are access permissions for sensitive data (e.g., PII, financial data) restricted based on job roles?","Role definitions, configuration screenshots.
RBAC configurations, IAM policies, access control matrices, screenshots of restricted access.",,,,,,,,,,,,,,,,,,,,
70,Are emergency/temporary accesses documented and revoked automatically?,"Temporary access logs, access revocation reports.",,,,,,,,,,,,,,,,,,,,
71,Are strong password policies enforced across the organization?,"Policy documents, system enforcement screenshots.",,,,,,,,,,,,,,,,,,,,
72,Is there a process for securely resetting user passwords?,"Password reset policy, workflow diagrams, system configuration screenshots, logs of reset activities.",,,,,,,,,,,,,,,,,,,,
73,Are third-party vendors and contractors provided access based on specific business needs?,"Access request forms, manager approval records, business justification documentation.",,,,,,,,,,,,,,,,,,,,
74,Are third-party access rights reviewed and revoked after project completion or contract termination?,"Access review logs, termination or offboarding records, system de-provisioning reports.",,,,,,,,,,,,,,,,,,,,
75,Are inactive sessions automatically logged out after a defined period of inactivity?,"System configuration settings, screenshots, session timeout logs.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Change Management,,,,,,,,,,,,,,,,,,,,,
76,Documented Change Management policy and procedures.,"Policy document, approval records, version-controlled procedures.",,,,,,,,,,,,,,,,,,,,
77,"All changes are formally requested, reviewed, and approved before implementation.

Testing is performed prior to deployment to ensure changes do not negatively impact systems.

Post-implementation review is conducted to assess change success and lessons learned.","Change request forms, approval logs, workflow screenshots.

Test plans, test cases, test execution reports, QA sign-offs.

Post-change review reports, meeting minutes, corrective action plans.",,,,,,,,,,,,,,,,,,,,
